id;name;newPrice;avgPrice;bestPrice;worstPrice;percentPrice;percentDiscountPrice;umbral
1;Amuleto;0.0;1.0;0.0;0.0;0.0;100;70.0;https://www.buscalibre.cl/libro-amuleto/9788433973559/p/3249041
2;Los Sinsabores del Verdadero Policia;0.0;1.0;0.0;0.0;0.0;100;70.0;https://www.buscalibre.cl/libro-los-sinsabores-del-verdadero-policia/9788433976857/p/6989895
3;Una Novelita Lumpen;0.0;1.0;0.0;0.0;0.0;100;70.0;https://www.buscalibre.cl/libro-una-novelita-lumpen/9788433977243/p/29390150
4;La Llegada de los Tres (la Torre Oscura ii);29310.0;32100.0;29310.0;33750.0;91.308411215;8;70.0;https://www.buscalibre.cl/libro-la-llegada-de-los-tres-la-torre-oscura-ii/9788401021428/p/49181529
5;Coleccion Completa Sherlock Holmes (8 Volumenes);50420.0;59928.75;50420.0;68450.0;84.1332415577;15;70.0;https://www.buscalibre.cl/libro-coleccion-completa-sherlock-holmes-8-volumenes/9789878354019/p/52195716
6;En Busca del Tiempo Perdido (7 Tomos);77420.0;82288.125;77420.0;86600.0;94.0840491869;5;70.0;https://www.buscalibre.cl/libro-en-busca-del-tiempo-perdido-7-tomos/9788499088464/p/4024026
7;Hojas de Hierba;18300.0;20158.125;18300.0;21780.0;90.7822528137;9;70.0;https://www.buscalibre.cl/libro-hojas-de-hierba/9788467055177/p/51447856
8;La Broma Infinita;36420.0;39843.75;36420.0;41900.0;91.4070588235;8;70.0;https://www.buscalibre.cl/libro-la-broma-infinita/9788439702368/p/2407345
9;Catedral;7650.0;7650.0;7650.0;7650.0;100.0;0;70.0;https://www.buscalibre.cl/libro-catedral/9788433920577/p/1359440
10;Un Árbol de Noche;13660.0;14446.25;13360.0;14960.0;94.5574110928;5;70.0;https://www.buscalibre.cl/libro-un-arbol-de-noche/9788433972477/p/1027459
11;Musica Para Camaleones;16150.0;16352.5;15110.0;16900.0;98.761657239;1;70.0;https://www.buscalibre.cl/libro-musica-para-camaleones/9788433914361/p/1027422
12;El Capitán Salió a Comer y los Marineros Tomaron el Barco;14780.0;16025.625;14780.0;17310.0;92.2272922273;7;70.0;https://www.buscalibre.cl/libro-el-capitan-salio-a-comer-y-los-marineros-tomaron-el-barco/9788433976789/p/4855210
13;Escritos de un Viejo Indecente;7650.0;7650.0;7650.0;7650.0;100.0;0;70.0;https://www.buscalibre.cl/libro-escritos-de-un-viejo-indecente/9788433920881/p/2617571
14;Erecciones, Eyaculaciones, Exhibiciones;14270.0;14484.375;13360.0;14960.0;98.5199568501;1;70.0;https://www.buscalibre.cl/libro-erecciones-eyaculaciones-exhibiciones/9788433914552/p/1270723
15;Hollywood;9350.0;9350.0;9350.0;9350.0;100.0;0;70.0;https://www.buscalibre.cl/libro-hollywood/9788433914262/p/2003140
16;Se Busca una Mujer;8500.0;8500.0;8500.0;8500.0;100.0;0;70.0;https://www.buscalibre.cl/libro-se-busca-una-mujer/9788433920225/p/1027448
17;Shakespeare Nunca lo Hizo;14180.0;15608.75;14180.0;16390.0;90.8464803396;9;70.0;https://www.buscalibre.cl/libro-shakespeare-nunca-lo-hizo/9788433976871/p/6989897
18;Fragmentos de un Cuaderno Manchado de Vino;17250.0;18957.5;17250.0;19920.0;90.9930106818;9;70.0;https://www.buscalibre.cl/libro-fragmentos-de-un-cuaderno-manchado-de-vino/9788433977052/p/27340125
19;Musica de Cañerias;8500.0;8500.0;8500.0;8500.0;100.0;0;70.0;https://www.buscalibre.cl/libro-musica-de-canerias/9788433914729/p/1027421
20;Mujeres;14670.0;16241.875;14670.0;17600.0;90.322084119;9;70.0;https://www.buscalibre.cl/libro-mujeres/9788433920997/p/1027420
21;Factotum;7650.0;7650.0;7650.0;7650.0;100.0;0;70.0;https://www.buscalibre.cl/libro-factotum/9788433920058/p/1271188
22;Pulp;14780.0;15877.5;14780.0;16750.0;93.087702724;6;70.0;https://www.buscalibre.cl/libro-pulp/9788433914873/p/2617475
23;La Máquina de Follar;7650.0;7650.0;7650.0;7650.0;100.0;0;70.0;https://www.buscalibre.cl/libro-la-maquina-de-follar/9788433920447/p/2617574
24;Hijo de Satanás;15180.0;16699.375;15180.0;17540.0;90.901605599;9;70.0;https://www.buscalibre.cl/libro-hijo-de-satanas/9788433914675/p/1027372
25;Cartero;7650.0;7650.0;7650.0;7650.0;100.0;0;70.0;https://www.buscalibre.cl/libro-cartero/9788433920638/p/1027303
26;Fiebre en las Gradas;26140.0;25983.125;24040.0;26810.0;100.603757246;0;70.0;https://www.buscalibre.cl/libro-fiebre-en-las-gradas/9788433974778/p/2517976
27;Como Ser Buenos;26110.0;25070.0;22340.0;30070.0;104.148384523;-4;70.0;https://www.buscalibre.cl/libro-como-ser-buenos/9788433969583/p/1271816
28;Juliet, desnuda;0.0;1.0;0.0;0.0;0.0;100;70.0;https://www.buscalibre.cl/libro-juliet-desnuda/9788433975430/p/3996455
29;Funny Girl;14730.0;14730.0;14730.0;14730.0;100.0;0;70.0;https://www.buscalibre.cl/libro-funny-girl/9788433979568/p/47391402
30;31 Canciones;11690.0;13043.75;11690.0;13710.0;89.6214662195;10;70.0;https://www.buscalibre.cl/libro-31-canciones/9788433973528/p/2517994
31;Juliet, Desnuda;17250.0;18957.5;17250.0;19920.0;90.9930106818;9;70.0;https://www.buscalibre.cl/libro-juliet-desnuda/9788433977120/p/27397657
32;En Picado;8500.0;8500.0;8500.0;8500.0;100.0;0;70.0;https://www.buscalibre.cl/libro-en-picado/9788433973634/p/3036008
33;El año del Verano que Nunca Llego;12270.0;13258.125;12270.0;13820.0;92.5470230519;7;70.0;https://www.buscalibre.cl/libro-el-ano-del-verano-que-nunca-llego/9786073130493/p/46548386
34;Crónica de una Muerte Anunciada (Literatura Random House);13540.0;14691.875;13400.0;16010.0;92.1597821925;7;70.0;https://www.buscalibre.cl/libro-cronica-de-una-muerte-anunciada-literatura-random-house/9788439728382/p/41454304
35;Vivir Para Contarla;0.0;1.0;0.0;0.0;0.0;100;70.0;https://www.buscalibre.cl/libro-vivir-para-contarla/9788439728405/p/41447051
36;Relato de un Náufrago;18110.0;19401.875;17880.0;21330.0;93.3414940566;6;70.0;https://www.buscalibre.cl/libro-relato-de-un-naufrago/9788439728399/p/41460322
37;El Mundo Conocido;26350.0;29955.625;26350.0;30710.0;87.9634459304;12;70.0;https://www.buscalibre.cl/libro-el-mundo-conocido/9788493401597/p/1811127
38;En la Corte del Lobo;0.0;1.0;0.0;0.0;0.0;100;70.0;https://www.buscalibre.cl/libro-en-la-corte-del-lobo/9788423344147/p/6116306
39;Gilead - st Martin`S Press (libro en Inglés);21770.0;20314.1667;0.0;22760.0;107.166591283;-7;70.0;https://www.buscalibre.cl/libro-gilead-st-martin-s-press-libro-en-ingles/9780312424404/p/1754380
40;Las Correcciones;13560.0;15948.125;13560.0;17920.0;85.0256691617;14;70.0;https://www.buscalibre.cl/libro-las-correcciones/9788498385786/p/38437297
