id;name;newPrice;avgPrice;worstPrice;percentPrice;percentDiscountPrice
1;Amuleto;0.0;1.0;0.0;0.0;100.0
2;Los Sinsabores del Verdadero Policia;0.0;1.0;0.0;0.0;100.0
3;Una Novelita Lumpen;0.0;1.0;0.0;0.0;100.0
4;La Llegada de los Tres (la Torre Oscura ii);29310.0;32100.0;33750.0;91.308411215;8.69158878505
5;Coleccion Completa Sherlock Holmes (8 Volumenes);50420.0;59928.75;68450.0;84.1332415577;15.8667584423
6;En Busca del Tiempo Perdido (7 Tomos);77420.0;82288.125;86600.0;94.0840491869;5.91595081307
7;Hojas de Hierba;18300.0;20158.125;21780.0;90.7822528137;9.21774718631
8;La Broma Infinita;36420.0;39843.75;41900.0;91.4070588235;8.59294117647
9;Catedral;7650.0;7650.0;7650.0;100.0;0.0
10;Un Árbol de Noche;13660.0;14446.25;14960.0;94.5574110928;5.44258890716
11;Musica Para Camaleones;16150.0;16352.5;16900.0;98.761657239;1.23834276105
12;El Capitán Salió a Comer y los Marineros Tomaron el Barco;14780.0;16025.625;17310.0;92.2272922273;7.77270777271
13;Escritos de un Viejo Indecente;7650.0;7650.0;7650.0;100.0;0.0
14;Erecciones, Eyaculaciones, Exhibiciones;14270.0;14484.375;14960.0;98.5199568501;1.48004314995
15;Hollywood;9350.0;9350.0;9350.0;100.0;0.0
16;Se Busca una Mujer;8500.0;8500.0;8500.0;100.0;0.0
17;Shakespeare Nunca lo Hizo;14180.0;15608.75;16390.0;90.8464803396;9.15351966045
18;Fragmentos de un Cuaderno Manchado de Vino;17250.0;18957.5;19920.0;90.9930106818;9.00698931821
19;Musica de Cañerias;8500.0;8500.0;8500.0;100.0;0.0
20;Mujeres;14670.0;16241.875;17600.0;90.322084119;9.67791588102
21;Factotum;7650.0;7650.0;7650.0;100.0;0.0
22;Pulp;14780.0;15877.5;16750.0;93.087702724;6.91229727602
23;La Máquina de Follar;7650.0;7650.0;7650.0;100.0;0.0
24;Hijo de Satanás;15180.0;16699.375;17540.0;90.901605599;9.09839440099
25;Cartero;7650.0;7650.0;7650.0;100.0;0.0
26;Fiebre en las Gradas;26140.0;25983.125;26810.0;100.603757246;-0.60375724629
27;Como Ser Buenos;26110.0;25070.0;30070.0;104.148384523;-4.14838452333
28;Juliet, desnuda;0.0;1.0;0.0;0.0;100.0
29;Funny Girl;14730.0;14730.0;14730.0;100.0;0.0
30;31 Canciones;11690.0;13043.75;13710.0;89.6214662195;10.3785337805
31;Juliet, Desnuda;17250.0;18957.5;19920.0;90.9930106818;9.00698931821
32;En Picado;8500.0;8500.0;8500.0;100.0;0.0
33;El año del Verano que Nunca Llego;12270.0;13258.125;13820.0;92.5470230519;7.4529769481
34;Crónica de una Muerte Anunciada (Literatura Random House);13540.0;14691.875;16010.0;92.1597821925;7.84021780746
35;Vivir Para Contarla;0.0;1.0;0.0;0.0;100.0
36;Relato de un Náufrago;18110.0;19401.875;21330.0;93.3414940566;6.65850594337
37;El Mundo Conocido;26350.0;29955.625;30710.0;87.9634459304;12.0365540696
38;En la Corte del Lobo;0.0;1.0;0.0;0.0;100.0
39;Gilead - st Martin`S Press (libro en Inglés);21770.0;20314.1667;22760.0;107.166591283;-7.16659128331
40;Las Correcciones;13560.0;15948.125;17920.0;85.0256691617;14.9743308383
41;Asombrosas Aventuras de Kavalier y Clay;0.0;1.0;0.0;0.0;100.0
42;El Tiempo es un Canalla;15000.0;15125.0;17000.0;99.173553719;0.826446280992
43;Medio sol Amarillo;29260.0;32042.5;33680.0;91.3162206445;8.68377935554
44;Dientes Blancos;19150.0;20188.75;22510.0;94.8548077518;5.14519224816
45;Middlesex;12750.0;12750.0;12750.0;100.0;0.0
46;La Gran Guerra;22040.0;22040.0;22040.0;100.0;0.0
47;Princesas al Poder;0.0;1.0;0.0;0.0;100.0
48;Donde Viven los Monstruos;20290.0;22261.875;23390.0;91.1423678374;8.85763216261
49;Mickey a Travï¿ ½S de los Siglos;36460.0;40189.375;46030.0;90.7204951557;9.27950484425
50;Sin City. Edición Integral Vol. 2;39630.0;43339.375;45580.0;91.4410971547;8.55890284528
51;Spiderman: Toda una Vida;0.0;38516.0;44490.0;0.0;100.0
52;Bone,Vol. 1: Lejos de Boneville;23330.0;25576.875;26880.0;91.2152090511;8.78479094886
53;Fenix nº 01/12 (Nueva Edición);22370.0;23150.0;23850.0;96.6306695464;3.36933045356
54;Adolf;54160.0;51338.125;62250.0;105.496646011;-5.49664601113
55;Notas al pie de Gaza;29260.0;32042.5;33680.0;91.3162206445;8.68377935554
56;Gorazde (nueva ediciï¿½n);22530.0;23190.0;23850.0;97.1539456662;2.84605433376
57;Historias de Bosnia;16150.0;16625.0;17100.0;97.1428571429;2.85714285714
58;Usagi Yojimbo 3;31450.0;32375.0;33300.0;97.1428571429;2.85714285714
59;37;31450.0;32375.0;33300.0;97.1428571429;2.85714285714
60;Usagi Yojimbo 2;31450.0;32375.0;33300.0;97.1428571429;2.85714285714
61;100 Balas Libro 01 (de 5);0.0;1.0;0.0;0.0;100.0
62;Kobane Calling;25510.0;26961.25;29980.0;94.6172747925;5.38272520747
63;Ciencia Oscura Edición de Lujo 1. Manual de Entropía Para Principiantes;48040.0;52501.25;55220.0;91.5025832718;8.49741672817
64;Locke & key Omnibus 02;47290.0;51691.875;54370.0;91.4843967258;8.51560327421
65;Criminal Integral 01;46190.0;49096.875;51210.0;94.0793074916;5.92069250843
66;Aidp, Integral 1;36410.0;39836.875;41890.0;91.3977313733;8.60226862674
67;Alicia;28840.0;31909.375;34020.0;90.380961708;9.61903829204
68;Barrera;30560.0;33468.125;35190.0;91.3107621057;8.68923789427
69;Tintín Box. La Colección Completa;230780.0;247452.5;261560.0;93.262343278;6.737656722
70;Donald Happiest Adventures;36460.0;40038.75;43620.0;91.0617838968;8.93821610315
71;Star Wars Omnibus Jason Aaron  nº 01;63790.0;69961.875;76490.0;91.1782310008;8.82176899919
72;Star Wars Darth Vader Omnibus;83410.0;90326.25;95800.0;92.3430342785;7.65696572148
73;The Boys Integral Vol. 1;0.0;50720.0;50720.0;0.0;100.0
74;Asalto al Hades, el;16810.0;18760.625;19730.0;89.6025585502;10.3974414498
75;Juan Solo (Integral);14020.0;14020.0;14020.0;100.0;0.0
76;Los Pitufos. Integral 01;36170.0;39576.25;41620.0;91.3931966773;8.6068033227
77;Los Malditos Nº 01;23330.0;25670.0;27840.0;90.8843007402;9.11569925984
78;Estrella Distante;20700.0;23116.875;24530.0;89.5449752616;10.4550247384
79;From Hell;26780.0;27491.25;28350.0;97.4128131678;2.58718683217
80;Los Muertos Vivientes Integral nº1;44480.0;48821.25;53280.0;91.1078679878;8.89213201219
81;1959 Metahulla #2;10630.0;9690.0;10630.0;109.700722394;-9.70072239422
82;Los Fantastibulosos Mundos de Roald Dahl;18700.0;18700.0;18700.0;100.0;0.0
83;The League of Extraordinary Gentlemen nº 02;17000.0;17500.0;18000.0;97.1428571429;2.85714285714
84;The League of Extraordinary Gentlemen nº 03;17000.0;17500.0;18000.0;97.1428571429;2.85714285714
85;The League of Extraordinary Gentlemen nº 01;17000.0;17000.0;17000.0;100.0;0.0
86;La Llamada de Cthulhu;26400.0;18697.5;26400.0;141.195346972;-41.1953469715
87;De Animales a Dioses. Breve Historia de la Humanidad;12750.0;12750.0;12750.0;100.0;0.0
88;American Gods;15580.0;17133.75;17990.0;90.9316407675;9.06835923251
89;Buenos Presagios;0.0;1.0;0.0;0.0;100.0
90;Logia;0.0;1.0;0.0;0.0;100.0
91;El Verbo Kaifman;0.0;13600.0;13600.0;0.0;100.0
92;Cochrane vs. Cthulhu;8000.0;8800.0;14400.0;90.9090909091;9.09090909091
93;Andinia. La Catedral Antartica;15300.0;10800.0;15300.0;141.666666667;-41.6666666667
94;Cuentos Completos i  (Philip k. Dick ) (Bibliotecas de Autor);23330.0;25583.75;26890.0;91.1906972199;8.80930278009
95;Ubik;19310.0;21267.5;23000.0;90.795815211;9.204184789
96;Los Tres Estigmas de Palmer Eldritch;19310.0;21201.875;22280.0;91.0768505144;8.9231494856
97;La Penúltima Verdad;19310.0;21020.625;22130.0;91.8621591889;8.13784081111
98;Cuentos Completos ii  (Philip k. Dick );23330.0;17030.0;23330.0;136.99354081;-36.9935408103
99;Fluyan mis Lï¿ ½Grimas, Dijo el Policï¿ ½A;19310.0;21201.875;22280.0;91.0768505144;8.9231494856
100;Crónicas Marcianas;19770.0;21174.375;22130.0;93.3675728327;6.63242716727
101;Dune;0.0;17905.0;19900.0;0.0;100.0
102;El sol Desnudo;15530.0;17076.875;17930.0;90.941697471;9.058302529
103;Los Robots del Amanecer;15580.0;17133.75;17990.0;90.9316407675;9.06835923251
104;Monster Kanzenban nº 01;14030.0;14030.0;14030.0;100.0;0.0
105;Monster Kanzenban nº 02;14030.0;14030.0;14030.0;100.0;0.0
106;Dragon Head nº 01/05;23330.0;25670.0;27840.0;90.8843007402;9.11569925984
107;Hanzô: El camino del asesino: Hanzô 1 - 2ª ed.;25620.0;28078.75;29510.0;91.2433779994;8.75662200062
108;Dragon Head nº 02/05;28210.0;30215.0;32480.0;93.364223068;6.63577693199
109;La Chica a la Orilla del mar 01;0.0;1.0;0.0;0.0;100.0
110;La Chica a la Orilla del mar 2;14270.0;15705.625;16490.0;90.8591666998;9.14083330017
111;Pluto nº 01/08 (Nueva Edicion);15280.0;16853.125;18170.0;90.6656777304;9.33432226961
112;3 x 3 Eyes 01;20360.0;22345.625;23480.0;91.1140323889;8.88596761111
113;Lobo Solitario y su Cachorro 1;11480.0;11480.0;11480.0;100.0;0.0
114;El Puño de la Estrella del Norte (Hokuto no Ken) nº 05/18;10970.0;11290.0;11610.0;97.1656333038;2.83436669619
115;El Puño de la Estrella del Norte (Hokuto no Ken) nº 04/18;10970.0;11290.0;11610.0;97.1656333038;2.83436669619
116;El Puño de la Estrella del Norte (Hokuto no Ken) nº 04/18;10970.0;11290.0;11610.0;97.1656333038;2.83436669619
117;El Puño de la Estrella del Norte 2;10970.0;10970.0;10970.0;100.0;0.0
118;El Puño de la Estrella del Norte (Hokuto no Ken) nº 01;10970.0;10970.0;10970.0;100.0;0.0
119;La Espada del Inmortal nº 05/15;16150.0;16625.0;17100.0;97.1428571429;2.85714285714
120;La Espada del Inmortal Kanzenban nº 04/15;16150.0;16625.0;17100.0;97.1428571429;2.85714285714
121;La Espada del Inmortal nº 03/15;16150.0;16625.0;17100.0;97.1428571429;2.85714285714
122;La Espada del Inmortal Kanzenban nº 02/15;16150.0;16625.0;17100.0;97.1428571429;2.85714285714
123;La Espada del Inmortal nº 01/15;16150.0;16625.0;17100.0;97.1428571429;2.85714285714
124;Obra Completa: Estuche Con: Sapiens | Homo Deus | 21 Lecciones Para el Siglo Xxi: 18041 (Historia);52150.0;56980.0;59930.0;91.5233415233;8.47665847666
125;Código Limpio;52580.0;57451.875;60430.0;91.5200765858;8.47992341416
126;El Castillo de las Estrellas 01. 1869 la Conquista del Espacio;24400.0;26744.375;28110.0;91.2341380197;8.76586198032
127;Sangri-la;33240.0;37611.25;39630.0;88.3778124896;11.6221875104
128;Blacksad 02: Arctic Nation;21310.0;23260.625;24560.0;91.614047344;8.38595265604
129;Thorgal. Integral 1;38960.0;43395.0;45690.0;89.7799285632;10.2200714368
130;Erase una vez en Francia 01;28420.0;31126.25;32720.0;91.3055700574;8.69442994257
131;Los Surcos del Azar. Edición Ampliada [Próxima Aparición];31430.0;34411.25;36180.0;91.3364088779;8.66359112209
132;Lydie Edicion Especial;23890.0;26188.75;27520.0;91.2223760202;8.77762397976
133;Jamás Tendré 20 Años.;26830.0;29396.875;30900.0;91.2682045285;8.73179547146
134;March. Una Cronica de la Lucha por los Derechos Civiles de los Afroamericanos;32440.0;35786.25;38920.0;90.6493415767;9.35065842328
135;Esta Parte me Encanta;10050.0;10385.0;11390.0;96.7741935484;3.22580645161
136;En un Rayo de sol 2ª Parte;34350.0;37588.75;39520.0;91.3837251837;8.61627481627
137;En un Rayo de sol #1 Parte;34350.0;37588.75;39520.0;91.3837251837;8.61627481627
138;Piruetas;38470.0;42084.375;44250.0;91.4115987228;8.5884012772
139;Me Estas Escuchando?;35960.0;39348.75;41380.0;91.3879093999;8.61209060008
140;Frankenstein (Nueva Edición) (Novela Gráfica);21250.0;21250.0;21250.0;100.0;0.0
141;Sleeper: Integral;69790.0;76207.5;80170.0;91.5789128367;8.42108716334
142;La Inocencia del Nihilismo;26290.0;28811.25;30280.0;91.2490780511;8.75092194889
143;Queen and Country 1;17000.0;17500.0;18000.0;97.1428571429;2.85714285714
