id,name,reg_date,img_url,reference_price,id_category
1,Amuleto,"2021-03-01 12:14:30",NULL,6000,2
2,"Los Sinsabores del Verdadero Policia","2021-03-01 12:25:10",NULL,10000,2
3,"Una Novelita Lumpen","2021-03-01 12:34:14",NULL,10000,2
4,"La Llegada de los Tres (la Torre Oscura ii)","2021-03-01 12:37:35",NULL,20000,3
5,"Coleccion Completa Sherlock Holmes (8 Volumenes)","2021-03-02 15:36:25",NULL,60000,3
6,"En Busca del Tiempo Perdido (7 Tomos)","2021-03-02 15:48:50",NULL,80000,3
7,"Hojas de Hierba","2021-03-02 15:51:13",NULL,12000,3
8,"La Broma Infinita","2021-03-02 15:53:44",NULL,16000,3
9,Catedral,"2021-03-02 15:56:52",NULL,8000,3
10,"Un Árbol de Noche","2021-03-03 18:02:09",NULL,10000,3
11,"Musica Para Camaleones","2021-02-24 12:38:26",NULL,NULL,3
12,"El Capitán Salió a Comer y los Marineros Tomaron el Barco","2021-02-24 12:38:26",NULL,NULL,3
13,"Escritos de un Viejo Indecente","2021-02-24 12:38:26",NULL,NULL,3
14,"Erecciones, Eyaculaciones, Exhibiciones","2021-02-24 12:38:26",NULL,NULL,3
15,Hollywood,"2021-02-24 12:38:26",NULL,NULL,3
16,"Se Busca una Mujer","2021-02-24 12:38:26",NULL,NULL,3
17,"Shakespeare Nunca lo Hizo","2021-02-24 12:38:26",NULL,NULL,3
18,"Fragmentos de un Cuaderno Manchado de Vino","2021-02-24 12:38:26",NULL,NULL,3
19,"Musica de Cañerias","2021-02-24 12:38:26",NULL,NULL,3
20,Mujeres,"2021-02-24 12:38:26",NULL,NULL,3
21,Factotum,"2021-02-24 12:38:26",NULL,NULL,3
22,Pulp,"2021-02-24 12:38:26",NULL,NULL,3
23,"La Máquina de Follar","2021-02-24 12:38:26",NULL,NULL,3
24,"Hijo de Satanás","2021-02-24 12:38:26",NULL,NULL,3
25,Cartero,"2021-02-24 12:38:26",NULL,NULL,3
26,"Fiebre en las Gradas","2021-02-24 12:38:32",NULL,NULL,4
27,"Como Ser Buenos","2021-02-24 12:38:32",NULL,NULL,4
28,"Juliet, desnuda","2021-02-24 12:38:32",NULL,NULL,4
29,"Funny Girl","2021-02-24 12:38:32",NULL,NULL,4
30,"31 Canciones","2021-02-24 12:38:32",NULL,NULL,4
31,"Juliet, Desnuda","2021-02-24 12:38:32",NULL,NULL,4
32,"En Picado","2021-02-24 12:38:32",NULL,NULL,4
33,"El año del Verano que Nunca Llego","2021-02-25 16:13:43",NULL,NULL,5
34,"Crónica de una Muerte Anunciada (Literatura Random House)","2021-02-25 16:13:43",NULL,NULL,5
35,"Vivir Para Contarla","2021-02-25 16:13:43",NULL,NULL,5
36,"Relato de un Náufrago","2021-02-25 16:13:43",NULL,NULL,5
37,"El Mundo Conocido","2021-02-26 17:49:46",NULL,NULL,6
38,"En la Corte del Lobo","2021-02-26 17:49:46",NULL,NULL,6
39,"Gilead - st Martin`S Press (libro en Inglés)","2021-02-26 17:49:46",NULL,NULL,6
40,"Las Correcciones","2021-02-26 17:49:46",NULL,NULL,6
41,"Asombrosas Aventuras de Kavalier y Clay","2021-02-26 17:49:46",NULL,NULL,6
42,"El Tiempo es un Canalla","2021-02-26 17:49:46",NULL,NULL,6
43,"Medio sol Amarillo","2021-02-26 17:49:46",NULL,NULL,6
44,"Dientes Blancos","2021-02-26 17:49:46",NULL,NULL,6
45,Middlesex,"2021-02-26 17:49:46",NULL,NULL,6
46,"La Gran Guerra","2021-02-26 17:58:00",NULL,NULL,7
47,"Princesas al Poder","2020-09-21 16:46:52",NULL,NULL,1
48,"Donde Viven los Monstruos","2021-02-26 17:58:00",NULL,NULL,7
49,"Mickey a Travï¿ ½S de los Siglos","2020-09-21 16:46:56",NULL,NULL,1
51,"Spiderman: Toda una Vida","2020-09-21 16:47:03",NULL,NULL,1
53,"Fenix nº 01/12 (Nueva Edición)","2020-09-21 16:47:09",NULL,NULL,1
55,"Notas al pie de Gaza","2021-02-26 17:58:00",NULL,NULL,7
56,"Gorazde (nueva ediciï¿½n)","2021-02-26 17:58:00",NULL,NULL,7
57,"Historias de Bosnia","2021-02-26 17:58:00",NULL,NULL,7
58,"Usagi Yojimbo 3","2020-09-21 16:47:20",NULL,NULL,1
59,37,"2020-09-21 16:47:23",NULL,NULL,1
60,"Usagi Yojimbo 2","2020-09-21 16:47:25",NULL,NULL,1
61,"100 Balas Libro 01 (de 5)","2021-02-26 17:58:00",NULL,NULL,7
62,"Kobane Calling","2021-02-26 17:58:00",NULL,NULL,7
63,"Ciencia Oscura Edición de Lujo 1. Manual de Entropía Para Principiantes","2020-09-21 16:47:33",NULL,NULL,1
66,"Aidp, Integral 1","2021-02-26 17:58:00",NULL,NULL,7
67,Alicia,"2020-09-21 16:47:41",NULL,NULL,1
68,Barrera,"2021-02-26 17:58:00",NULL,NULL,7
69,"Tintín Box. La Colección Completa","2020-09-21 16:47:44",NULL,NULL,1
70,"Donald Happiest Adventures","2020-09-21 16:47:46",NULL,NULL,1
